,company_name,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_state,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
10,Top Glove Corporation Berhad,3.8521,321,220,101,33,89,93%,70%,"persiaran setia dagang, setia alam, seksyen u13, 40170 shah alam, selangor, malaysia",Selangor,> 5000 ,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
11,Public Bank Berhad,3.9198,300,229,129,39,51,94%,75%,menara public bank jalan ampang wilayah persekutuan kuala lumpur,Selangor,> 5000 ,"Medical, Loans, Attractive Remuneration Package and Insurance Coverage",Office attire,English,"Regular hours, Mondays - Fridays"
12,Hong Leong Bank Berhad,3.5275,228,196,163,57,101,76%,62%,"menara hong leong, no 6, jalan damanlela, bukit damansara 50490 kuala lumpur, malaysia",Selangor,> 5000 ,"Medical, Loans, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
13,OCBC Bank (Malaysia) Berhad,4.3614,459,154,76,24,23,93%,85%,"menara ocbc
18 jalan tun perak
50050 kuala l5umpur
malaysia",Perak,2001 - 5000 ,"Medical, Loans, Dental, Insurance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
14,RHB Banking Group,3.9564,324,212,106,30,63,86%,80%,rhb centre jalan tun razak kuala lumpur selangor malaysia,Selangor,> 5000 ,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Parking, Vision, Performance Incentive Scheme",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
15,Infineon Technologies (Malaysia) Sdn Bhd,4.4008,451,173,59,11,27,93%,78%,melaka operations free trade zone batu berendam 75350 melaka,Melaka,> 5000 ,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Attractive Bonuses",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
16,AEON Credit Service (M) Bhd,3.8688,276,204,127,41,53,84%,75%,"level 18, uoa corporate tower, avenue 10, the vertical, bangsar south city, no. 8, jalan kerinchi, 59200 kuala lumpur, wilayah persekutuan kuala lumpur, malaysia",Kuala Lumpur,2001 - 5000 ,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Parking, Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
17,AirAsia,4.3569,425,135,76,19,23,93%,76%,"airasia berhad
redq,
jalan pekeliling 5, klia2,
64000 sepang, selangor d.e",Selangor,> 5000 ,"Medical, Dental, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
18,Sony EMCS (Malaysia) Sdn. Bhd.,4.209,306,222,76,15,22,87%,82%,"free trade zone, prai industrial estate, 13600 penang, malaysia",Penang,2001 - 5000 ,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Vehicle Loan Subsidy",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
19,Malaysia Airlines Berhad,4.2449,331,188,77,12,25,83%,85%,"level 1, administration building, southern support building, klia, 64000 sepang, selangor, malaysia",Selangor,> 5000 ,"Miscellaneous allowance, Annual Leave",Business and uniform,English,24 / 7 operation
20,Startek,3.137,156,127,113,64,146,72%,50%,"ara damansara: 
level 1, symphony house, jalan pju 1a/46, 47301 petaling jaya, selangor

kuala lumpur: 
menara 238, jalan tun razak, imbi, 50400 kuala lumpur, federal territory of kuala lumpur

johor bahru: 
level 2, medini 7,jalan medini sentral 5, bandar medini iskandar, johor, malaysia",Johor,2001 - 5000 ,"Miscellaneous allowance, Sports (e.g. Gym), Performance Incentive Scheme ",Business Casual,English & Bahasa Malaysia (Others based on operations need),Based on business needs
21,Maxis Broadband Sdn Bhd,4.1761,286,178,79,22,20,91%,83%,"menara maxis
kuala lumpur city centre
off jalan ampang
50088 kuala lumpur",Selangor,> 5000 ,"Medical, Education support, Loans, Dental, Phone Bill Allowance, Mobile Phone Subsidy, Additional EPF (by Employer)",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
22,Plexus Manufacturing Sdn Bhd,3.8717,209,198,82,40,40,86%,77%,"plot 87, lebuhraya kampung jawa, 11900 bayan lepas, penang.",Penang,> 5000 ,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Event Center, Employee Privilege Program, Meal Subsidy-RM4.50/day, Etc.",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
23,99 Speed Mart Sdn Bhd,3.8471,215,157,115,22,47,87%,71%,"lot pt 2811, jalan angsa, taman berkeley, 41150 klang, selangor.",Selangor,> 5000 ,"Miscellaneous allowance, Monthly Training",Formal (e.g. Shirts + Ties),"Bahasa Melayu, English, Mandarin","Regular hours, Monday - Friday, Saturday or Sunday Alternate Off."
24,AEON Co. (M) Bhd.,3.9874,212,200,94,22,27,85%,82%,"jalan jejaka, taman maluri, 55100, federal territory of kuala lumpur, malaysia",Kuala Lumpur,> 5000 ,"Medical, Education support, Dental, Staff Rebate, Insurance, Long Service Awards etc.",HQ - Business Attire; OPERATION - Uniforms Provided,English,HQ - Mon to Fri; OPERATION - Shift
25,Berjaya Starbucks Coffee Company Sdn Bhd,4.3264,313,132,44,17,21,85%,86%,"lot 10-4, level 10, west, berjaya times square, no. 1 jalan imbi, 55100 kuala lumpur, malaysia",Kuala Lumpur,2001 - 5000 ,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Staff Purchase/ Discount, Employee Meal",Formal (e.g. Shirts + Ties),English,"Office: Mondays - Fridays ; Retail Outlets: 6 days per week, shift required"
26,IBM Malaysia Sdn Bhd,4.0673,217,183,78,22,20,87%,83%,"persiaran bandar utama, bandar utama, 47800 petaling jaya, selangor, malaysia",Selangor,2001 - 5000 ,"Medical, Flexible Benefit Plan",Casual & Formal depends on occasion,English,"Regular hours, Mondays - Fridays"
27,City University Malaysia,4.0874,285,117,42,15,56,89%,81%,"menara city u, no. 8, jalan 51a/223, 46100 petaling jaya, selangor, malaysia",Selangor,201 - 500 ,"Medical, Education support, Loans, Parking",Business (e.g. Shirts),English,Mondays to Fridays
28,Bank Simpanan Nasional,4.1734,247,147,67,15,21,89%,81%,"117 jalan ampang, 55000 kuala lumpur, federal territory of kuala lumpur, malaysia",Selangor,> 5000 ,"Medical, Loans, Dental, Sports (e.g. Gym)",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
29,First Solar Malaysia Sdn Bhd,4.5493,331,125,30,5,6,97%,94%,"kulim hi-tech park, 09000 kedah, malaysia",Kedah,2001 - 5000 ,"Medical, Education support, Dental, Sports (e.g. Gym), Parking, Vision, Meal subsidy, Mother's room",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
30,KOPERASI TABUNG HAJI BERHAD,4.604,366,87,27,5,10,91%,90%,201 jalan tun razak kuala lumpur wilayah persekutuan kuala lumpur malaysia,Kuala Lumpur,1 - 50 ,"Medical, Loans",Business (e.g. Shirts),Malay,"Regular hours, Mondays - Fridays"
31,Dell Global Business Center Sdn Bhd,4.4312,297,138,42,9,8,88%,91%,"plot 27, bayan lepas industrial zone phase iv, bayan lepas 11900 penang",Penang,2001 - 5000 ,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
32,VADS Berhad,3.9746,206,143,65,21,37,78%,78%,"tm damansara, n0. 1, jalan damansara, 60000 kuala lumpur.",Selangor,501 - 1000 ,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
33,Western Digital,4.286,266,131,43,8,24,93%,83%,"plot 301a, persiaran cassia selatan 1, taman perindustrian batu kawan, mk. 13 batu kawan, seberang perai selatan, 14100 penang.",Penang,2001 - 5000 ,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
34,Citigroup Transaction Services (M) Sdn Bhd,3.9128,196,136,71,35,32,89%,78%,"jalan sultan ahmad shah, georgetown, 10050 george town, penang, malaysia",Penang,1001 - 2000 ,Medical,Business (e.g. Shirts),English,"Standard, Staggered or Shift Hours"
35,HSBC Bank Malaysia Berhad,4.2066,242,127,45,20,21,91%,80%,"menara iq,
lingkaran trx, 
55188 tun razak exchange, 
kuala lumpur, malaysia",Kuala Lumpur,2001 - 5000 ,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
36,Intel Technology Sdn. Bhd.,4.5,297,104,29,10,8,95%,91%,"bayan lepas free industrial zone phase 3, 11900 bayan lepas, penang, malaysia",Penang,> 5000 ,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Vision, meal subsidy, daily free fruits, mother's room, moms-to-be carpark",Smart casual,English,"Regular hours, Mondays - Fridays"
37,Digi Telecommunications Sdn. Bhd.,4.3103,255,114,32,14,20,90%,87%,"10, jalan delima 1/1, subang hi-tech industrial park, 40000 shah alam, selangor, malaysia",Selangor,1001 - 2000 ,"Medical, Sports (e.g. Gym), Parking, 6-months maternity leave","Casual (jeans, t-shirts, sneakers, etc) ",English & Bahasa Malaysia,Flexible working hours & you can work from anywhere!
38,TDCX,3.7775,177,112,61,20,57,84%,69%,"level 7, menara th 1 sentral, jalan stesen sentral 5, kl sentral, 50470 kuala lumpur, malaysia",Kuala Lumpur,2001 - 5000 ,"Medical, Miscellaneous allowance, Dental, Vision, Incentive, Bonus and Commission Plan, Life-long Learning and Skills Development","Monday – Thursday: Smart Casual, Friday: Sport Attire","English, Bahasa Malaysia, Mandarin, Language for native markets",Support: 9:00am – 6:00pm (Monday – Friday) Operations: Shift based on markets
40,UEM Sunrise Berhad,4.4095,255,113,33,7,12,90%,90%,solaris dutamas kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,1001 - 2000 ,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Parking, Vision, ESOS and sports",Smart Casual,English,"Regular hours, Mondays - Fridays"
41,Flex,4.0266,169,134,80,15,16,90%,84%,"lot plo 2, kawasan perindustrian senai iii & iv, 81400 senai, johor, malaysia",Johor,> 5000 ,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Attractive Compensation Package, Paid Time Off",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
42,Lotuss Stores (Malaysia) Sdn Bhd,3.9853,177,112,80,17,23,86%,75%,"head office, level 3, kepong village mall,  no. 3, jalan 7a/62a, bandar manjalara 52200 kuala lumpur, malaysia",Kuala Lumpur,> 5000 ,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours for Head Office, Weekend and Shift required for Operations"
43,Scicom (MSC) Berhad,3.9756,193,102,59,24,32,82%,76%,22 jalan p ramlee kuala lumpur 50250 federal territory of kuala lumpur malaysia,Kuala Lumpur,2001 - 5000 ,Medical,Business (e.g. Shirts),English,As per the position advertised
44,OSRAM Opto Semiconductors (Malaysia) Sdn Bhd,4.1275,211,110,44,14,29,91%,80%,bayan lepas free industrial zone 11900 bayan lepas penang malaysia,Penang,> 5000 ,"Medical, Education support, Dental, Annual Bonus, Flexible Working Hours",Casual & smart,English,"Regular hours, Mondays - Fridays"
45,Hewlett Packard Enterprise,4.1593,180,123,55,11,14,87%,88%,"jalan gelenggang, bukit damansara, 50490 kuala lumpur, federal territory of kuala lumpur, malaysia",Selangor,> 5000 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
46,Sudong Sdn Bhd,4.065,189,89,44,20,27,89%,80%,"jalan tun sri lanang, 75100 melaka, malaysia",Melaka,501 - 1000 ,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
47,Sime Darby Plantation Berhad,4.1789,201,95,35,14,24,92%,83%,"sime darby plantation berhad, plantation tower, no 2, jalan pju 1a/7, ara damansara, 47301 petaling jaya, selangor, malaysia",Selangor,> 5000 ,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Vision",Business casual – no ties,English,"Regular hours, Mondays - Fridays"
48,Jabil Circuit Sdn Bhd,4.0495,156,128,44,14,22,90%,85%,"phase 4, 56, hilir sungai kluang 1, bayan lepas industrial park, 11900 bayan lepas, pulau pinang.",Penang,> 5000 ,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Vision, Insurance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
49,Genting Malaysia Berhad,4.1047,160,124,50,15,14,84%,78%,genting highlands pahang malaysia,Pahang,> 5000 ,"Medical, Education support, Loans, Dental, Sports (e.g. Gym), Free accommodation",Business (Shirt) / Uniform,English,Operation - Shift ; Back Office - Regular Hour
50,Bank Kerjasama Rakyat Malaysia Berhad,4.4116,235,80,26,3,18,90%,86%,"menara kembar bank rakyat, 
no 33, jalan travers, 50470 kuala lumpur",Kuala Lumpur,> 5000 ,"Staff Financing, Flexi , Allowance",Office Attire,English,"Regular hours, Mondays - Fridays"
51,SEEK Asia (JobStreet),4.0516,166,96,49,18,21,81%,70%,"level 20, menara aia cap square
no. 10, jalan munshi abdullah
50100 kuala lumpur",Kuala Lumpur,501 - 1000 ,"Medical, Education support, Dental, Flexi  (Data Plan, Optical, Book Purchase), Birthday Leave",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
52,HSBC Electronic Data Processing (Malaysia) Sdn Bhd,4.065,151,133,36,10,24,86%,85%,hsbc cyberjaya 63000 jalan teknokrat 3 cyberjaya selangor malaysia,Selangor,2001 - 5000 ,"Medical, Miscellaneous allowance, Dental, Optical, Life Insurance, Miscellaneous Allowance, Transportation",Business (e.g. Shirts),English,Shifting schedule
53,Bank Islam Malaysia Berhad,4.3428,211,92,28,4,18,90%,90%,"menara bank islam no 22, jalan perak 50450 kuala lumpur",Perak,2001 - 5000 ,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
54,7-Eleven Malaysia Sdn Bhd,3.9176,145,99,68,14,26,77%,71%,"podium block, plaza berjaya, 12 jalan imbi, pudu, 55100, federal territory of kuala lumpur, malaysia",Kuala Lumpur,> 5000 ,"Medical, Parking, Staff Discount Card, Mobile  & Petrol Card",Casual (e.g. T-shirts),English & Bahasa Malaysia,Staggered work hours
55,Jinko Solar Technology Sdn Bhd,3.4186,115,82,52,22,73,88%,60%,2481 tingkat perusahaan 4a perai penang malaysia,Penang,> 5000 ,"Medical, Dental, Vision, Transport Allowance, Phone Allowance, Meal Subsidy",Uniform or T-Shirts,Mandarin & English,"Regular hours, Mondays - Fridays"
56,Pos Malaysia Berhad,4.1633,165,100,58,9,11,78%,79%,"pos malaysia headquarters, dayabumi complex, 50670 kuala lumpur.",Kuala Lumpur,> 5000 ,"Medical, Miscellaneous allowance, Loans, Dental",Casual (Shirts + Slacks/Jeans),English,"Regular hours, Mondays - Fridays"
57,Popular Book Co. (M) Sdn. Bhd.,3.7625,106,122,66,20,27,77%,68%,"popular book co. (m) sdn. bhd.
no.8, jalan 7/118b
desa tun razak
56000 kuala lumpur",Kuala Lumpur,1001 - 2000 ,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
58,Alliance Bank Malaysia Berhad,3.7385,128,86,51,18,42,82%,68%,"menara multi purpose, jalan munshi abdullah, kuala lumpur, wilayah persekutuan kuala lumpur, malaysia",Kuala Lumpur,2001 - 5000 ,"Medical, Miscellaneous allowance, Loans, Dental, Sports (e.g. Gym), Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
59,Parkson Corporation Sdn Bhd,4.1066,130,116,58,7,8,83%,82%,klang parade jalan meru kawasan 17 klang selangor malaysia,Selangor,2001 - 5000 ,"Medical, TBA",TBA,English & Bahasa Malaysia,"Regular hours, Mondays - Fridays"
60,UNIQLO (MALAYSIA) SDN BHD.,4.3344,176,98,26,7,10,98%,86%,"lot 3.05, level 3, 1, first avenue, bandar utama, petaling jaya, 47800 selangor",Selangor,1001 - 2000 ,"Medical, Dental",Smart Casual,English,Saturdays/Shift required
61,Mydin Mohamed Holdings Berhad,3.6122,90,92,81,17,32,69%,67%,"mydin mohamed holdings bhd, lot 675 & 676, persiaran subang permai, usj 1, 47500 subang jaya, selangor, malaysia",Selangor,> 5000 ,"Medical, Miscellaneous allowance, Education support, Parking",Formal (e.g. Shirts + Ties),Bahasa Malaysia / English,Varies according to job title/position
62,DKSH Malaysia Sdn Bhd,3.8818,120,94,55,30,14,85%,73%,"b-11-01, the ascent, paradigm, no 1, jalan ss7/26a, kelana jaya, 47301 petaling jaya, selangor.",Selangor,2001 - 5000 ,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
63,DFI Retail Group,4.1234,140,103,40,13,12,89%,86%,"lot 2, persiaran sukan, seksyen 13, shah alam, selangor, malaysia.",Selangor,> 5000 ,"Medical, Education support, Parking, Annual Leave",Business (e.g. Shirts),English and Bahasa Malaysia,"HQ (5 days a week) or Operations (Shift, Weekend & Public Holiday)"
64,Affin Bank Berhad,4.013,136,87,57,10,18,87%,83%,"menara affin, 80 jalan raja chulan, 50200 kuala lumpur, malaysia",Kuala Lumpur,2001 - 5000 ,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Parking, Vision, Knowledge Suite",Business (e.g. Shirts),Bahasa Malaysia & English,"Regular hours, Mondays - Fridays"
65,Malindo Airways Sdn Bhd,4.198,159,88,29,11,16,84%,78%,"c-5-05, block c, oasis ara damansara, jalan pju 1a/7a, 47301 petaling jaya, selangor",Selangor,2001 - 5000 ,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
66,Indah Water Konsortium Sdn. Bhd.,4.2399,153,89,36,8,10,82%,79%,"44, jalan dungun, damansara heights",Selangor,2001 - 5000 ,"Medical, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
67,KPMG PLT,4.1477,129,114,36,8,11,88%,84%,"level 10, kpmg tower, 8 first avenue, bandar utama, 47800 petaling jaya, selangor",Selangor,1001 - 2000 ,"Medical, Education support, Dental, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
68,Permodalan Nasional Berhad,4.6949,231,49,8,3,4,91%,92%,"level 4, menara pnb, 201-a jalan tun razak, 50400 kuala lumpur, federal territory of kuala lumpur, malaysia",Kuala Lumpur,1001 - 2000 ,"Medical, Education support, Loans, Dental, Sports (e.g. Gym)",Formal (e.g. Shirts + Ties),English & BM,"Regular hours, Mondays - Fridays"
69,Samsung Malaysia Electronics (SME) Sdn Bhd,4.0241,137,85,30,17,22,88%,78%,"level 15, mercu 2
no. 3, jalan bangsar, kl eco city, 
59200 kuala lumpur, malaysia.",Kuala Lumpur,501 - 1000 ,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking",Smart Casual,"English, Bahasa Malaysia, Mandarin Dialects","Regular hours, Mondays - Fridays"
70,Prasarana Malaysia Berhad,4.4589,180,82,20,4,6,86%,86%,"menara uoa bangsar, no. 5 jalan bangsar utama 1, 59100 kuala lumpur",Kuala Lumpur,> 5000 ,"Medical, Miscellaneous allowance, Education support, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
71,Infineon Technologies (Kulim) Sdn Bhd,4.354,166,84,27,6,8,92%,89%,"lot 10 & 11, jalan hi-tech 7, kulim hi-tech park, kulim, kedah, malaysia.",Kedah,2001 - 5000 ,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Vision",Professional Attire/Uniform/ according to Section,English,"Regular hours, Mondays - Fridays"
72,PwC Malaysia,4.3798,162,90,22,8,5,91%,88%,"level 10, 1 sentral, jalan travers, kuala lumpur sentral, p.o. box 10192, 50706 kuala lumpur",Kuala Lumpur,1001 - 2000 ,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Vision",Casual Fridays,English,"Regular hours, Mondays - Fridays"
73,Perusahaan Otomobil Nasional Sdn Bhd (PROTON),4.1135,124,99,36,13,10,82%,81%,proton hicom factory shah alam selangor malaysia,Selangor,2001 - 5000 ,"Medical, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
74,UEM Edgenta Berhad,4.2242,144,90,26,8,13,89%,86%,"uem edgenta berhad, level 17, menara uem, tower 1, avenue 7, the horizon, bangsar south city, no.8, jalan kerinchi, 59200 kuala lumpur",Kuala Lumpur,2001 - 5000 ,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Parking, Vision",Smart Casual,English,"Regular hours, Mondays - Fridays"
75,Robert Bosch (M) Sdn Bhd,4.2688,150,85,25,7,12,89%,82%,"free industrial zone 1, phase 1, 11900 bayan lepas, penang",Penang,1001 - 2000 ,"Medical, Loans, Dental, Parking, Vision, Meal, Bonus, Teambuilding, Annual Dinner",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
76,Shell Business Operations Kuala Lumpur,4.4065,171,70,24,5,8,92%,89%,"wisma shell,
3450, jalan teknokrat 3,
63000, cyberjaya,
selangor darul ehsan, 
malaysia",Selangor,1001 - 2000 ,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Vision, EPF Top-Up up to 4% ",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
78,Schlumberger Business Support HUB Sdn Bhd,4.4094,179,56,23,11,7,96%,86%,"1 first avenue, bandar utama, 47800 petaling jaya, selangor, malaysia",Selangor,1001 - 2000 ,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Vision",Business (e.g. Shirts),English,Saturdays/Shift required
79,DHL Express (Malaysia) Sdn Bhd,4.4908,179,66,13,6,7,95%,87%,"level 27, menara tm, off jalan baharu, kuala lumpur 50762 malaysia",Kuala Lumpur,1001 - 2000 ,Medical,Business (e.g. Shirts),English,"Monday - Saturday, 830am - 6pm"
80,Standard Chartered Global Business Services,3.9449,121,78,34,15,24,88%,78%,"wisma standard chartered, jalan teknologi 8, taman teknologi malaysia, 57000 bukit jalil, kuala lumpur.",Kuala Lumpur,2001 - 5000 ,"Medical, Dental, Vision",Business (e.g. Shirts),English,Regular hours / Shift hours
81,Inari Technology Sdn Bhd,3.9963,118,85,38,6,23,85%,76%,"plot 51, hilir sungai keluang empat, phase 4, bayan lepas free industrial zone, 11900 bayan lepas, penang.",Penang,1001 - 2000 ,"Medical, Miscellaneous allowance, Education support, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
82,Concentrix,3.7593,113,65,40,18,34,85%,69%,"kl sentral office:up level, nu tower 2, jalan tun sambanthan, 50470, kuala lumpur, federal territory of kuala lumpur, malaysia.",Kuala Lumpur,> 5000 ,"Medical, Dental, Career enhancement",Casual (e.g. T-shirts),English,Saturdays/Shift required
83,AIA BHD,4.2201,142,79,26,6,15,91%,85%,"level 17 - 24, menara aia, 99, jalan ampang  - 50450",Selangor,1 - 50 ,"Medical, Miscellaneous allowance",Formal (e.g. Shirts + Ties),English & Chinese,"Regular hours, Mondays-Fridays"
84,Golden Screen Cinemas Sdn Bhd,3.97,121,71,41,14,20,79%,77%,"1 jalan ss 22/19, damansara jaya, 47400 petaling jaya, selangor, malaysia",Selangor,1001 - 2000 ,"Medical, Miscellaneous allowance, Dental",Business (e.g. Shirts),English,Depending on job nature
85,foodpanda Malaysia Sdn Bhd,3.6617,124,48,27,14,54,75%,59%,"a-5-01, block a, southgate commercial centre, no. 5, jalan dua off jalan chan sow lin, 55200 kuala lumpur,",Kuala Lumpur,1001 - 2000 ,"Medical, Dental, Corporate Allowance; Lifestyle Allowance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
86,BP Healthcare Group,2.0712,25,19,42,45,136,52%,18%,"no 17, 19 & 21, jalan medan tuanku satu, medan tuanku,  50300 kuala lumpur, federal territory of kuala lumpur.",Kuala Lumpur,2001 - 5000 ,"Medical, Miscellaneous allowance, Dental, Bonus, commission, staff and family special rates",Business (e.g. Shirts),"English, Mandarin, Bahasa Malaysia",Office working hours
